언론사,코드
강원도민일보,2105
강원일보,1087
경기신문,2199
경기일보,2165
경남도민신문,2416
경남도민일보,2163
경남매일신문,2346
경남신문,2202
경남일보,2217
경북도민일보,2377
경북매일신문,2161
경북신문,2533
경북일보,2098
경상매일신문,2321
경상일보,2277
경인일보,2122
고양신문,2429
광남일보,2355
광주드림,2237
광주매일신문,2263
국제신문,2172
군포시민신문,2513
굿모닝충청,2285
금강일보,2356
기호일보,2154
김해뉴스,2345
남도일보,2539
뉴스경남,2714
뉴스저널리즘,2824
뉴제주일보,2452
당진신문,2678
대구신문,2341
대구일보,2287
대전시티저널,2069
대전일보,2276
동양일보,2344
디트뉴스24,2232
라디오코리아,2083
매일신문,1088
무등일보,2323
미디어제주,2522
미주중앙일보,2292
미주한국일보,2428
부산일보,1082
새전북신문,2153
시민의소리,2439
시사제주,2179
신아일보,2364
영남일보,2207
울산매일신문,2184
울산제일일보,2583
울산종합일보,2354
인천일보,2193
인천투데이,2688
전남일보,2379
전라일보,2395
전민일보,2368
전북도민일보,2259
전북일보,2335
전북중앙,2599
제민일보,2158
제주도민일보,2186
제주의소리,2085
중도일보,2340
중부매일,2283
중부일보,2281
충남일보,2347
충북인뉴스,2532
충북일보,2231
충청리뷰,2699
충청매일,2278
충청일보,2116
충청타임즈,2498
충청투데이,2160
헤드라인제주,2267
VOA,2087
골프저널,2773
그라피,2659
낚시춘추,2378
농업정보신문,2806
더뮤지컬,2561
더핑퐁,2680
디자인정글,2188
레이디경향,1145
론리플래닛,2607
르몽드,2260
마리끌레르,2547
매경이코노미,1024
맥스무비,2078
머니,2448
메종,2640
모터트렌드 코리아,2797
브라보마이라이프,2474
브레인미디어,2065
비지니스코리아,2652
빌리어즈,2496
소셜밸류,2825
슈어,2215
시사IN,1308
시사매거진,2617
시사오늘,2370
시사저널,1586
신동아,1262
쎄씨,2219
씨네21,1140
아웃도어뉴스,2222
에스콰이어,2691
엔지니어링데일리,2271
엘르,2027
엠에프지,2701
여성동아,2549
여성조선,2238
여성중앙,2210
여행스케치,2570
연합이매진,1225
월간 데코저널,2843
월간 산,1094
월간로봇기술,2733
월간마이더스,2208
월간암,2075
월간오늘보다,2632
월간조선,2481
월간중앙,2203
월간현대경영,2393
위클리오늘,2294
이미디어,2262
이웃집과학자,2550
이코노미스트,1243
이코노미조선,2226
이코노믹리뷰,2097
인사이트코리아,2517
인터뷰365,2081
일렉트릭파워,2574
조선에듀,2546
주간경향,1033
주간동아,1037
주간조선,1053
주간한국,2723
주간한국,1042
중앙SUNDAY,1353
지이코노미,2633
참여와혁신,2495
채널예스,2185
축산신문,2615
카스포인트,2336
테크M,2447
트래비,2411
파운드 매거진,2225
팜앤마켓매거진,2649
패션비즈,2272
패션저널,2073
포브스코리아,2204
포춘코리아,2727
하퍼스바자,2634
한겨레21,1036
한경비즈니스,1050
한경잡앤조이,2209
헬로티,2417
allure,2304
CHIEF EXECUTIVE,2833
CNB저널,2127
GQ,2302
M이코노미,2180
PC사랑,2198
Queen,2472
Tomorrow,2559
topclass,2265
VOGUE,2301
VOGUE girl,2303
W,2305
가스신문,2178
가톨릭뉴스 지금여기,2458
가톨릭신문,2252
건설타임즈,2067
게임샷,2739
게임플,2577
경희대학교 레굴루스,1572
골프산업신문,2661
공감신문,2264
공무원수험신문,2614
광운대학교 아르마스,1590
교수신문,2150
국민의당,1637
국방일보,2249
국제섬유신문,2319
국토일보,2338
국회,1358
기자협회보,1127
나무신문,2784
노동과세계,2542
농기자재신문,2720
농민신문,2084
농수축산신문,2442
농업경제신문,2679
농장에서식탁까지,2666
농촌여성신문,2365
농축유통신문,2537
뉴스렙,2156
뉴스브라이트,2476
뉴스와이어,2334
뉴스컬처,2339
뉴스타파,1607
뉴스포스트,2491
대명 킬러웨일즈,1538
대안신당,1636
대한급식신문,2470
대한럭비협회,1547
대한변협신문,2330
대한씨름협회,1548
대한장애인체육회,1307
대한체육회,1601
더게임스데일리,2462
더나은미래,2635
더불어민주당,1305
더불어시민당,1642
더스쿠프,2311
더피알,2399
데이터뉴스,2024
데일리NK,2023
데일리굿뉴스,2646
데일리로그,2684
데일리메디,2125
데일리벳,2392
데일리시큐,2350
데일리카,2621
데일리포스트,2771
독서신문,2043
동아사이언스,1584
동아오토,2257
라이브팜뉴스,2811
라포르시안,2248
레디앙,2315
로리더,2775
로이슈,2289
리걸타임즈,2674
리얼캐스트,2705
매경헬스,2717
메디칼업저버,2371
메디칼타임즈,2391
메디칼트리뷴,2389
메디컬월드뉴스,2620
메디컬투데이,2269
메디파나뉴스,2126
무비위크,1242
무카스,2071
문학뉴스,2628
문화뉴스,2415
물류신문,2148
미디어스,2060
미디어파인,2443
미래통합당,1156
민생당,1517
민족의학신문,2322
민주평화당,1594
민중당,1608
바른정당,1552
방송기술저널,2660
백세시대,2466
법률신문,2094
법률저널,2144
법보신문,2157
베리타스알파,2258
베이비뉴스,2295
베이비타임즈,2631
보건뉴스,2602
보험매일,2715
부안독립신문,2590
북DB,2441
불교신문,2149
블록체인밸리,2703
비주얼다이브,2327
비즈월드,2813
빅터뉴스,2814
새로운보수당,1634
서울문화투데이,2821
서울시체육회,1597
서울유나이티드,1522
성균관대학교 ESKAKA,1571
세이프타임즈,2754
세정신문,2030
세정일보,2571
셀럽미디어,2349
소년한국일보,2360
스냅,2317
스카우팅리포트,1557
식품저널 foodnews,2595
신소재경제신문,2644
싱글리스트,2575
아웃소싱타임스,2564
아파트관리신문,2501
안산무궁화프로축구단,1520
애슬릿미디어,1540
약사공론,2332
약업신문,2100
양평시민의소리,2519
어린이동아,2557
어업IN수산,2565
어패럴뉴스,2197
업다운뉴스,2554
에듀동아,2449
에이블뉴스,2018
여성소비자신문,2493
여성신문,1310
여행신문,2815
연세대학교 시스붐바,1570
연합인포맥스,2227
열린민주당,1641
오토타임즈,2029
오피니언뉴스,2618
오피니언타임스,2507
우드플래닛,2695
우리공화당,1587
원불교신문,2543
원예산업신문,2789
월간 오디오,2800
월간노동법률,2658
월간불광,2690
월간원예,2512
월드코리안신문,2588
월요신문,2520
위드인뉴스,2636
유교신문,2482
의약뉴스,2842
의학신문,2376
의협신문,2088
이코노타임즈,2831
일간NTN,2309
일다,1007
일요시사,2175
일요신문,2307
잡포스트,2820
장애인신문,2111
재외동포신문,2176
재해재난속보,1321
전기신문,2235
정신의학신문,2473
정의당,1426
정책브리핑,1298
제주매일,2572
중소기업뉴스,2328
중앙일보 헬스미디어,2687
지앤이타임즈,2563
참세상,2835
참세상,1152
철강금속신문,2343
청년의사,2229
청와대,1154
치과신문,2718
친박신당,1638
컨슈머타임스,2174
코나스,2134
코리아넷,1441
코리아쉬핑가제트,2398
코리아중앙데일리,2444
코리아중앙데일리,1640
코리아타임스,2668
코리아헤럴드,1044
코리아헬스로그,2066
코메디닷컴,1296
쿠키뉴스,1143
쿡앤셰프,2639
크리스천투데이,2047
택스워치,2757
통일뉴스,2387
통일신문,2320
투어코리아뉴스,2675
트래블투데이,2664
파이낸스투데이,2585
파이트타임즈,2838
퍼블릭뉴스,2669
플래텀,2373
플레이디비,2627
하우징헤럴드,2591
하이닥,2246
한국교육신문,2224
한국금융신문,2040
한국기독공보,2218
한국농어민신문,2396
한국농업신문,2367
한국농정신문,2414
한국농촌경제신문,2663
한국대학스포츠협의회,1573
한국대학신문,2189
한국면세뉴스,2638
한국목재신문,2523
한국무역신문,2147
한국보험신문,2056
한국섬유신문,2381
한국스포츠통신,2672
한국영농신문,2548
한양대학교 사자후,1569
한의신문,2530
함께걸음,2124
헤모필리아라이프,2504
헬스경향,2534
헬스조선,1346
현대불교신문,2422
현대축산뉴스,2057
현대해양,2682
화이트페이퍼,2120
환경일보,2164
후생신보,2619
CLO,2706
CTS,2558
EBN,2093
e의료정보,2740
FPN,2070
IT동아,2313
KBR,2694
Korea IT Times,2187
KOTRA해외시장뉴스,2834
kt 롤스터,1537
PD저널,2042
RANK5,2734
RPM9,2308
SPACE(공간),2846
The New York Times,2747
ubc울산방송,2794
